1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
24483 441 249 763 4481 0 2396 1819 23 22 167 27 78 320 541 944 772 2101 241 442
26332 510 248 766 5412 0 2826 2795 19 30 190 56 73 365 671 1154 976 2477 329 456
30267 491 288 763 5941 0 3390 2551 30 49 230 58 89 484 883 1480 1331 2588 405 520
30226 774 350 765 7263 0 3479 3272 31 22 248 52 87 506 925 1544 1345 2233 354 535
25083 509 221 719 5557 0 2683 2063 21 27 193 54 81 322 641 1138 781 1545 192 376
24115 425 204 804 4537 0 3291 2117 22 16 215 30 85 300 557 989 750 1517 213 354
24588 426 206 764 4780 0 2932 2231 18 17 143 38 98 342 525 863 737 1758 224 401
21381 448 196 633 4584 0 2940 2212 24 21 168 39 52 287 427 949 770 1682 244 345
27273 486 242 675 5189 0 3570 2775 19 30 164 66 107 402 580 1230 2712 2114 314 434
28158 579 294 752 6296 0 3559 3091 23 47 244 49 119 456 773 1642 1206 2573 375 532
30169 690 365 784 8018 0 2539 2496 27 33 268 43 88 486 942 1517 1154 2415 329 551
23430 539 244 1180 5833 0 1930 1688 19 22 166 41 54 290 722 1130 830 1842 257 353
23762 516 227 929 5257 0 2067 1627 19 23 129 46 59 307 611 996 767 1798 220 390
20904 442 224 817 4940 0 2221 1843 15 34 171 42 86 303 705 1084 830 2020 247 424
21892 447 213 794 4429 0 2163 1704 21 25 176 35 75 311 628 949 859 1938 307 389
28420 486 319 812 5592 0 2643 2196 24 21 235 60 84 430 738 1345 1052 2455 371 482
27887 531 296 737 5616 0 3121 2893 31 44 262 60 121 487 949 1844 1275 2753 432 571
26664 669 354 847 7057 0 2988 2660 33 24 282 57 96 537 931 1818 1305 2924 371 570
22490 478 274 745 5305 0 2473 1945 26 20 189 51 52 361 618 1199 876 2234 259 447
21091 500 261 674 5151 0 2352 1701 24 24 173 36 46 348 526 1000 780 2184 278 385
20459 456 250 737 4877 0 2807 1911 17 20 187 54 49 341 647 929 839 2337 262 458
22318 457 236 780 5022 0 3001 1837 24 18 179 54 79 390 715 1106 796 2577 345 500
22034 533 228 901 5236 0 3624 2441 22 12 257 90 88 496 685 1242 1064 2912 436 536
24008 507 261 707 6213 0 3359 2392 44 44 301 90 91 512 804 1748 1302 3259 486 622
53952 684 310 832 7857 0 2791 2402 30 36 288 57 87 672 862 1676 1342 2633 335 620
34135 441 239 679 4837 0 2328 1722 26 25 237 36 96 392 700 1168 800 1926 244 449
32469 402 201 700 4805 0 2221 1495 20 16 204 44 67 393 536 1062 693 1958 302 426
40287 499 237 820 5059 0 2539 1791 17 16 197 42 69 434 561 1038 669 2031 306 454
41711 455 174 734 4547 0 2825 1918 19 16 151 46 53 403 594 990 786 2285 405 489
41543 486 211 720 5285 1 3265 2327 51 38 218 52 77 507 632 1107 1010 2663 487 591
49054 639 312 737 6228 0 3248 2569 40 34 324 54 81 580 764 1489 1249 3042 560 668
35113 681 324 642 7366 0 3307 2869 49 37 338 57 98 495 805 1581 1275 3034 419 577
26869 496 201 723 5599 0 2777 1947 42 26 209 40 71 330 625 1075 723 2315 323 446
26006 436 203 664 4450 0 2935 1961 22 13 171 39 60 345 582 988 706 2314 349 409
25457 447 216 636 4426 0 4067 2527 18 24 212 48 84 355 600 1142 647 2355 371 459
21475 418 179 592 4499 0 4993 2669 32 16 241 57 65 382 663 1038 706 2697 483 561
28631 671 313 941 6844 0 5279 3597 48 21 300 52 113 562 894 1665 1262 3426 779 834
28852 755 436 796 7902 0 5663 3551 21 32 392 75 123 679 1008 2057 1568 4191 716 887
26365 743 406 756 7949 0 3727 2962 21 39 351 48 106 622 885 1825 1345 3253 583 628
21517 406 195 698 4604 0 2399 1483 11 23 152 31 76 315 700 1233 617 2676 380 477
20085 365 171 616 3719 0 2434 1479 12 13 159 30 53 290 613 1080 585 2550 551 524
21815 355 176 410 3584 0 2411 1683 19 18 195 34 48 365 558 1016 676 2440 361 522
73974 525 262 1385 5387 0 2894 2071 17 27 211 57 88 493 808 1288 976 3123 308 584
70298 596 237 1150 6230 0 3448 2911 26 32 390 55 83 601 807 1578 1339 3898 348 721
84655 686 297 994 6867 0 3901 3547 37 48 456 83 109 745 1217 2104 1644 4452 445 871
69459 808 369 1112 8113 0 3581 3198 30 48 538 77 134 744 1139 2122 1556 4770 346 950
57998 607 259 738 5693 0 2810 2456 28 26 432 55 76 431 838 1551 1035 4129 281 704
51285 531 215 1160 5802 0 3083 2446 37 30 397 55 79 442 819 1660 1055 4180 300 708
63528 496 246 873 5109 0 3115 2223 36 36 406 57 98 515 1075 1524 1042 3698 264 683
46819 471 199 978 5244 0 3072 2375 27 24 368 60 76 421 783 1523 928 4067 373 722
25713 540 280 928 5945 0 4075 2985 45 41 549 90 66 593 1007 1705 1305 4966 482 943
28783 639 309 754 6143 0 4202 3202 30 72 548 87 114 654 1277 2341 1654 4463 547 1142
28622 783 368 864 8042 0 3520 3150 20 45 393 90 103 733 1282 2278 1459 4741 470 967
24480 608 223 729 6075 0 3062 2223 46 36 296 77 82 559 1151 1758 963 3144 342 853
22662 499 224 892 5221 0 3135 2005 75 29 249 76 63 528 979 1691 885 2972 365 849
27132 505 247 726 5025 0 3429 2283 79 50 381 109 90 574 1061 1991 849 3297 415 984
45618 461 232 819 4517 1 3878 2471 72 29 346 102 77 629 1343 2261 929 3819 472 1106
34732 517 214 705 5363 0 4439 2770 103 51 442 130 117 799 1396 2507 1140 4543 628 1464
38018 620 313 1013 6906 0 5032 3241 139 62 539 152 134 882 1777 3427 1463 5726 766 1949
36729 698 306 852 7876 0 4502 3402 103 65 632 185 127 823 1684 3571 1438 5234 689 1870
37836 528 252 813 6207 0 4745 3076 117 58 549 147 132 744 1660 3320 1077 5120 760 1828
40005 492 217 1020 5711 0 5290 3161 160 65 492 252 104 815 2231 3818 1128 5984 896 2407
50219 528 302 853 5908 0 5882 3297 182 39 486 372 108 807 1925 3881 1318 6496 1003 3078
13526 166 90 313 1470 0 1090 677 38 13 60 68 20 158 360 904 279 1009 226 705
28509 394 212 713 4090 0 1582 1519 25 18 164 63 60 375 410 879 817 2222 492 601
32772 505 223 828 5182 0 1990 2215 23 20 240 59 89 480 705 1179 1138 3076 627 758
31769 709 308 777 7349 0 1634 2037 28 31 295 55 75 546 633 1290 1218 2892 583 737
27666 609 213 944 6009 0 1575 1618 24 40 207 47 69 414 605 1026 868 2705 520 593
26197 460 207 759 4670 0 1500 1657 18 24 191 60 62 377 564 925 748 2687 509 546
28453 443 208 743 5044 0 1787 2001 20 37 186 53 68 398 572 982 792 3046 616 641
27254 458 230 754 4446 0 1831 2008 23 40 194 49 67 434 559 1158 813 3596 773 796
28265 479 219 744 5621 0 2496 2616 28 41 293 66 101 506 617 1257 1099 4878 1113 1083
32445 661 292 1226 6591 0 2672 3583 23 32 328 112 109 666 885 1808 1448 6090 1255 1327
29921 767 349 1029 8348 0 2907 3266 21 42 336 89 108 653 958 1724 1501 6237 1226 1308
25970 547 248 1021 5928 0 2065 2197 22 39 234 61 43 368 544 1125 913 4831 912 963
24533 487 257 894 4480 0 2269 2063 15 25 188 63 63 417 455 1021 785 4692 820 872
26902 494 226 950 5258 0 2990 2582 9 27 242 67 76 455 695 1171 900 7163 1124 1086
25925 418 222 969 4420 0 2586 2663 20 26 232 63 78 406 531 1097 923 7168 1208 1157
26880 531 241 876 5549 0 3196 3443 18 36 281 80 71 532 637 1146 1134 9193 1693 1529
30043 644 314 769 6704 0 3790 3999 16 42 362 109 80 614 831 1569 1468 11056 2354 1926
27875 834 349 828 8417 0 3191 4197 25 51 399 89 94 598 926 1622 1474 8161 1978 1645
22748 502 271 802 5126 0 2625 2809 23 38 278 56 62 415 772 1126 909 6159 1367 1187
23677 474 203 793 5010 0 2714 2803 33 23 266 65 65 380 773 1050 836 6313 1408 1190
22591 533 221 822 5282 1 2743 2827 11 28 278 84 76 365 674 1053 783 6715 1544 1295
25217 450 246 672 4934 0 3034 3147 24 36 259 84 62 438 592 1069 759 7253 1843 1434
24217 571 221 902 5041 0 3728 3755 36 26 399 115 73 518 641 1387 1045 10180 2532 1961
28318 601 338 869 6282 0 3912 4557 34 40 445 102 96 687 1004 1736 1468 12417 3286 2636
29170 715 381 805 8085 0 3372 4592 29 43 372 85 84 632 835 1650 1397 10976 2967 2374
27183 544 282 807 5707 0 2874 3262 25 37 277 74 76 464 728 1180 898 7947 2027 1583
49450 467 231 951 4954 0 2941 2938 26 28 285 80 85 477 716 1121 915 8188 2137 1743
29541 498 250 746 4768 0 3534 3660 28 36 309 111 71 519 809 1299 891 9117 2437 1948
29613 477 214 913 5100 0 3435 3484 35 22 361 118 90 653 683 1421 999 9161 2482 2061
34314 495 251 814 5700 0 3910 3937 56 49 325 191 140 728 778 1729 1402 9624 2603 2559
36516 649 297 824 7065 0 4925 4704 62 69 428 214 138 1013 1092 2426 1984 12425 3426 3237
36890 657 345 713 6971 0 4945 4346 61 43 438 235 111 1025 1080 2386 1998 11213 3354 3132
33958 352 217 624 3658 0 3171 2605 48 25 222 200 85 650 708 1700 1489 5711 2050 1904
4380 25 11 29 222 0 105 85 0 1 8 2 2 18 6 68 54 130 64 42
23989 544 296 975 5144 0 1202 907 4 18 101 50 61 322 520 796 978 1428 263 410
